category,brand,model,weight_kg,reference_price,currency,product_url,official_source
tent,Naturehike,Bleik™ 3-Person Backpacking Tent,3.2,79.99,USD,https://www.campgearcompare.com/products/naturehike-bleiktm-3-person-backpacking-tent.html,https://www.naturehike.com/products/bleiktm-3-person-backpacking-tent
tent,Naturehike,Brighten 20 6 Person Glamping Tent,42.0,499.0,USD,https://www.campgearcompare.com/products/naturehike-brighten-20-pyramid-6-people-cotton-glamping-tent.html,https://www.naturehike.com/products/brighten-20-pyramid-6-people-cotton-glamping-tent
tent,Naturehike,Brighten 6.4 2 Person Glamping Tent,15.4,159.0,USD,https://www.campgearcompare.com/products/naturehike-brighten-glamping-tent.html,https://www.naturehike.com/products/brighten-glamping-tent
tent,Naturehike,Cape™ 12.9 8-Person Square Pop-Up Camping Tent,21.0,369.0,USD,https://www.campgearcompare.com/products/naturehike-cape-12-9-8-person-square-pop-up-camping-tent.html,https://www.naturehike.com/products/cape-12-9-8-person-square-pop-up-camping-tent
tent,Naturehike,Cape™ 5.2 4-Person Square Pop-Up Camping Tent,7.7,159.0,USD,https://www.campgearcompare.com/products/naturehike-cape-5-2-4-person-square-pop-up-camping-tent.html,https://www.naturehike.com/products/cape-5-2-4-person-square-pop-up-camping-tent
tent,Naturehike,Cape™ 6-Person Pop-Up Camping Tent,13.7,299.0,USD,https://www.campgearcompare.com/products/naturehike-cape-6-person-pop-up-camping-tent.html,https://www.naturehike.com/products/cape-6-person-pop-up-camping-tent
tent,Naturehike,Cape™ 8-Person Pop-Up Camping Tent,18.22,399.0,USD,https://www.campgearcompare.com/products/naturehike-cape-8-person-pop-up-camping-tent.html,https://www.naturehike.com/products/cape-8-person-pop-up-camping-tent
tent,Naturehike,Cape™ 8.3 6-Person Square Pop-Up Camping Tent,20.0,299.0,USD,https://www.campgearcompare.com/products/naturehike-cape-8-3-6-person-square-pop-up-camping-tent.html,https://www.naturehike.com/products/cape-8-3-6-person-square-pop-up-camping-tent
tent,Naturehike,Cape™ Lite 4-Person Instant Cabin Tent,8.5,139.99,USD,https://www.campgearcompare.com/products/naturehike-sss.html,https://www.naturehike.com/products/sss
tent,Naturehike,Car Tail Tunnel 4 Season Tent,22.16,888.99,USD,https://www.campgearcompare.com/products/naturehike-car-tail-tunnel-tent.html,https://www.naturehike.com/products/car-tail-tunnel-tent
tent,Naturehike,Cloud Peak™ 2-Person 4-Season Backpacking Tent,0.3,39.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-peak-2-person-4-season-backpacking-tent.html,https://www.naturehike.com/products/cloud-peak-2-person-4-season-backpacking-tent
tent,Naturehike,Cloud River™ 2-Person Backpacking Tent,3.0,79.99,USD,https://www.campgearcompare.com/products/naturehike-cloud-river-2-person-backpacking-tent.html,https://www.naturehike.com/products/cloud-river-2-person-backpacking-tent
tent,Naturehike,Cloud River™ 3-Person Backpacking Tent,5.0,99.99,USD,https://www.campgearcompare.com/products/naturehike-cloud-river-3-person-backpacking-tent.html,https://www.naturehike.com/products/cloud-river-3-person-backpacking-tent
tent,Naturehike,Cloud River™ Pro 2-Person 4-Season Backpacking Tent,2.63,179.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-river-pro-2-person-4-season-backpacking-tent.html,https://www.naturehike.com/products/cloud-river-pro-2-person-4-season-backpacking-tent
tent,Naturehike,Cloud Trek™ 1-Person Ultralight Bikepacking Tent,2.0,84.99,USD,https://www.campgearcompare.com/products/naturehike-cloud-trek-1-person-ultralight-bikepacking-tent.html,https://www.naturehike.com/products/cloud-trek-1-person-ultralight-bikepacking-tent
tent,Naturehike,Cloud Trek™ 2-Person Ultralight Bikepacking Tent,2.8,119.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-trek-2-person-ultralight-bikepacking-tent.html,https://www.naturehike.com/products/cloud-trek-2-person-ultralight-bikepacking-tent
tent,Naturehike,Cloud Up™ 1-Person Ultralight Backpacking Tent,1.58,99.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-1-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ 2-Person Ultralight Backpacking Tent,2.1,119.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-2-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ 3-Person Ultralight Backpacking Tent,1.16,159.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-3-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-3-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ Base 1-Person Ultralight Backpacking Tent,1.2,99.99,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-base-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-base-1-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ Base 2-Person Ultralight Backpacking Tent,2.1,119.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-base-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-base-2-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ Base 3-Person Ultralight Backpacking Tent,2.6,169.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-base-3-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-base-3-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ EXT 2-Person Ultralight Backpacking Tent,1.8,199.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-ext-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-ext-2-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ Pro 1-Person Ultralight Backpacking Tent,1.85,129.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-pro-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-pro-1-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ Pro 2-Person Ultralight Backpacking Tent,2.1,169.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-pro-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-pro-2-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ Pro 3-Person Ultralight Backpacking Tent,2.3,199.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-pro-3-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-pro-3-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ UL 1-Person Ultralight Backpacking Tent,1.5,149.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-ul-1-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-ul-1-person-ultralight-backpacking-tent
tent,Naturehike,Cloud Up™ UL 2-Person Ultralight Backpacking Tent,1.45,179.0,USD,https://www.campgearcompare.com/products/naturehike-cloud-up-ul-2-person-ultralight-backpacking-tent.html,https://www.naturehike.com/products/cloud-up-ul-2-person-ultralight-backpacking-tent
tent,Naturehike,DABAN™ 1-Person Ultralight 4-Season Tunnel Tent,1.1,139.0,USD,https://www.campgearcompare.com/products/naturehike-daban-1-person-ultralight-4-season-tunnel-tent.html,https://www.naturehike.com/products/daban-1-person-ultralight-4-season-tunnel-tent
tent,Naturehike,DABAN™ 2-Person Ultralight 4-Season Tunnel Tent,1.6,139.0,USD,https://www.campgearcompare.com/products/naturehike-daban-2-person-ultralight-4-season-tunnel-tent.html,https://www.naturehike.com/products/daban-2-person-ultralight-4-season-tunnel-tent
tent,Naturehike,Dune™ 10.9 4-Person Hot Tent,1.32,49.99,USD,https://www.campgearcompare.com/products/naturehike-dune-10-9-4-person-hot-tent.html,https://www.naturehike.com/products/dune-10-9-4-person-hot-tent
tent,Naturehike,Dune™ 10.9 Pro 4-Person Hot Tent,1.0,39.99,USD,https://www.campgearcompare.com/products/naturehike-dunetm-10-9-pro-4-person-hot-tent.html,https://www.naturehike.com/products/dunetm-10-9-pro-4-person-hot-tent
tent,Naturehike,Dune™ 7.6 3-Person Hot Tent,0.7,39.99,USD,https://www.campgearcompare.com/products/naturehike-dune-7-6-3-person-hot-tent.html,https://www.naturehike.com/products/dune-7-6-3-person-hot-tent
tent,Naturehike,GEN 17.2  Glamping Inflatable 4 Season Tent,47.2,1659.0,USD,https://www.campgearcompare.com/products/naturehike-gen-17-2-glamping-inflatable-tent.html,https://www.naturehike.com/products/gen-17-2-glamping-inflatable-tent
tent,Naturehike,GEN 4.8 Roof 2-Person Glamping Tent,20.0,199.0,USD,https://www.campgearcompare.com/products/naturehike-naturehike-outdoor-glamping-extend-4-8-roof-a-tower-cotton-tent-2.html,https://www.naturehike.com/products/naturehike-outdoor-glamping-extend-4-8-roof-a-tower-cotton-tent-2
tent,Naturehike,GEN 6.3 Inflatable Glamping 4 Season Tent,22.4,645.99,USD,https://www.campgearcompare.com/products/naturehike-naturehike-outdoor-camping-extend-6-3-cotton-air-pole-inflatable-glamping-tent.html,https://www.naturehike.com/products/naturehike-outdoor-camping-extend-6-3-cotton-air-pole-inflatable-glamping-tent
tent,Naturehike,Giling PRO™ 4-Season 1-Person Backpacking Tent,2.2,149.0,USD,https://www.campgearcompare.com/products/naturehike-giling-protm-1-person-backpacking-tent.html,https://www.naturehike.com/products/giling-protm-1-person-backpacking-tent
tent,Naturehike,Giling PRO™ 4-Season 2-Person Backpacking Tent,2.6,169.0,USD,https://www.campgearcompare.com/products/naturehike-giling-protm-2-person-backpacking-tent.html,https://www.naturehike.com/products/giling-protm-2-person-backpacking-tent
tent,Naturehike,Giling UL™ 4-Season 1-Person Backpacking Tent,1.9,159.0,USD,https://www.campgearcompare.com/products/naturehike-giling-ultm-1-person-backpacking-tent.html,https://www.naturehike.com/products/giling-ultm-1-person-backpacking-tent
tent,Naturehike,Giling UL™ 4-Season 2-Person Backpacking Tent,2.2,189.0,USD,https://www.campgearcompare.com/products/naturehike-giling-ultm-2-person-backpacking-tent.html,https://www.naturehike.com/products/giling-ultm-2-person-backpacking-tent
tent,Naturehike,JIMS™ 1-Person Ultralight 4-Season Tent,1.7,148.16,USD,https://www.campgearcompare.com/products/naturehike-jims-1-person-ultralight-4-season-tent.html,https://www.naturehike.com/products/jims-1-person-ultralight-4-season-tent
tent,Naturehike,JIMS™ 2-Person Ultralight 4-Season Tent,2.0,189.0,USD,https://www.campgearcompare.com/products/naturehike-jims-2-person-ultralight-4-season-tent.html,https://www.naturehike.com/products/jims-2-person-ultralight-4-season-tent
tent,Naturehike,KOTA™ 4-Person Camping Tent,10.0,299.0,USD,https://www.campgearcompare.com/products/naturehike-kota-4-person-camping-tent.html,https://www.naturehike.com/products/kota-4-person-camping-tent
tent,Naturehike,KOTA™ 6-Person Camping Tent,20.0,359.0,USD,https://www.campgearcompare.com/products/naturehike-kota-6-person-camping-tent.html,https://www.naturehike.com/products/kota-6-person-camping-tent
